filename,path,author,title,year,npv_hits,eps_hits,score,top_npv_terms,top_eps_terms
"Beechy, Thomas H. - Accounting for changing prices (Book 1989).pdf","Textbooks/Academic/Accounting/Beechy, Thomas H. - Accounting for changing prices (Book 1989).pdf","Beechy, Thomas H.",Accounting for changing prices,1989,16,26,-0.2381,"opportunity cost(7), present value(6), net present value(2), discounted cash flow(1)","book value(19), per share(3), return on equity(2), return on capital(1), rate of return(1)"
"Benedict, Augustine - Financial Accounting An Introduction (Book 2008).pdf","Textbooks/Academic/Accounting/Benedict, Augustine - Financial Accounting An Introduction (Book 2008).pdf","Benedict, Augustine",Financial Accounting An Introduction,2008,5,210,-0.9535,"present value(3), free cash flow(1), discounted value(1)","per share(64), book value(37), earnings per share(19), roe(15), par value(10)"
"Benjamin, James J. - Financial Accounting (Book 1975).pdf","Textbooks/Academic/Accounting/Benjamin, James J. - Financial Accounting (Book 1975).pdf","Benjamin, James J.",Financial Accounting,1975,57,511,-0.7993,"present value(44), discount rate(13)","per share(174), par value(139), book value(100), earnings per share(44), rate of return(27)"
Bennett - Corporation Accounting (Book 1916).pdf,Textbooks/Academic/Accounting/Bennett - Corporation Accounting (Book 1916).pdf,Bennett,Corporation Accounting,1916,1,167,-0.9881,present worth(1),"par value(102), per share(35), book value(13), earning power(9), accretive/accretion(4)"
"Bierman, Harold - Financial Accounting An Introduction (Book 1968).pdf","Textbooks/Academic/Accounting/Bierman, Harold - Financial Accounting An Introduction (Book 1968).pdf","Bierman, Harold",Financial Accounting An Introduction,1968,182,245,-0.1475,"present value(141), present worth(13), discount rate(12), time value of money(12), opportunity cost(1)","per share(94), book value(83), par value(42), earnings per share(10), accretive/accretion(6)"
"Britton, Anne - Financial Accounting (Book 2003).pdf","Textbooks/Academic/Accounting/Britton, Anne - Financial Accounting (Book 2003).pdf","Britton, Anne",Financial Accounting,2003,19,100,-0.6807,"present value(9), time value of money(8), discount rate(2)","per share(29), book value(29), return on capital(13), earnings per share(10), dividend yield(6)"
"Burton - Sinking Funds, Reserve Funds, and Depreciation (Book 1922).pdf","Textbooks/Academic/Accounting/Burton - Sinking Funds, Reserve Funds, and Depreciation (Book 1922).pdf",Burton,"Sinking Funds, Reserve Funds, and Depreciation",1922,1,2,-0.3333,present value(1),"accretive/accretion(1), intrinsic value(1)"
Danny Ray Hines - Adapting the flow of resources concept to the business enterprise (Book 1975).pdf,Textbooks/Academic/Accounting/Danny Ray Hines - Adapting the flow of resources concept to the business enterprise (Book 1975).pdf,Danny Ray Hines,Adapting the flow of resources concept to the business enterprise,1975,0,0,0.0,,
Donald Royal Law - A study of local government financial reporting practices and accounting (Book 1972).pdf,Textbooks/Academic/Accounting/Donald Royal Law - A study of local government financial reporting practices and accounting (Book 1972).pdf,Donald Royal Law,A study of local government financial reporting practices and accounting,1972,3,5,-0.25,"present value(2), diversification(1)","book value(4), accretive/accretion(1)"
Glenn Arnold; Suzanne Kyle; Lyryx Learning - Intermediate Financial Accounting (Book 2017).pdf,Textbooks/Academic/Accounting/Glenn Arnold; Suzanne Kyle; Lyryx Learning - Intermediate Financial Accounting (Book 2017).pdf,Glenn Arnold; Suzanne Kyle; Lyryx Learning,Intermediate Financial Accounting,2017,140,128,0.0448,"present value(107), information asymmetry(16), discount rate(9), net present value(3), free cash flow(2)","per share(59), earnings per share(31), book value(16), eps(8), par value(5)"
Hawkins - Corporate Financial Reporting Text and Cases (Book 1977).pdf,Textbooks/Academic/Accounting/Hawkins - Corporate Financial Reporting Text and Cases (Book 1977).pdf,Hawkins,Corporate Financial Reporting Text and Cases,1977,83,654,-0.7748,"present value(60), diversification(9), efficient market(7), discount rate(3), present worth(2)","per share(317), earnings per share(114), dilutive/dilution(55), par value(55), book value(51)"
Henry Dauderis; David Annand; Lyryx Learning - Introduction to the Financial Accounting (Book 2017).pdf,Textbooks/Academic/Accounting/Henry Dauderis; David Annand; Lyryx Learning - Introduction to the Financial Accounting (Book 2017).pdf,Henry Dauderis; David Annand; Lyryx Learning,Introduction to the Financial Accounting,2017,30,258,-0.7917,present value(30),"per share(104), book value(63), earnings per share(25), eps(19), return on equity(11)"
James Don Edwards - History of Public Accounting in the United States (Book 1960).pdf,Textbooks/Academic/Accounting/James Don Edwards - History of Public Accounting in the United States (Book 1960).pdf,James Don Edwards,History of Public Accounting in the United States,1960,0,5,-1.0,,"per share(2), earnings per share(1), earning power(1), book value(1)"
Jang Youn Cho - Timeliness of earnings reports (Book 1987).pdf,Textbooks/Academic/Accounting/Jang Youn Cho - Timeliness of earnings reports (Book 1987).pdf,Jang Youn Cho,Timeliness of earnings reports,1987,6,12,-0.3333,"signaling theory(3), expected return(1), random walk(1), event study(1)","earnings per share(4), eps(4), per share(4)"
Joel Kissack - Law and accounting (Book 1986).pdf,Textbooks/Academic/Accounting/Joel Kissack - Law and accounting (Book 1986).pdf,Joel Kissack,Law and accounting,1986,0,0,0.0,,
"Kaplan, Revsine - Current Issues In Accounting (Book 1984).pdf","Textbooks/Academic/Accounting/Kaplan, Revsine - Current Issues In Accounting (Book 1984).pdf","Kaplan, Revsine",Current Issues In Accounting,1984,98,22,0.6333,"present value(13), discounted cash flow(11), opportunity cost(10), efficient market(9), emh(9)","rate of return(14), optimal capital structure(4), per share(2), earnings per share(1), accretive/accretion(1)"
"Killough, Larry N - Cost Accounting Concepts And Techniques For Management (Book 1984).pdf","Textbooks/Academic/Accounting/Killough, Larry N - Cost Accounting Concepts And Techniques For Management (Book 1984).pdf","Killough, Larry N",Cost Accounting Concepts And Techniques For Management,1984,391,280,0.1654,"present value(135), opportunity cost(98), net present value(89), discounted cash flow(19), discount rate(17)","rate of return(169), accounting rate of return(41), book value(35), margin of safety(10), payback period(8)"
"Kreps, Wacht - Analyzing Financial Statements (Book 1978).pdf","Textbooks/Academic/Accounting/Kreps, Wacht - Analyzing Financial Statements (Book 1978).pdf","Kreps, Wacht",Analyzing Financial Statements,1978,8,88,-0.8333,"present value(5), expected return(3)","coverage ratio(40), book value(13), times interest earned(6), par value(4), rate of return(4)"
Lawrence Lipkin - Accountant's handbook of formulas and tables (Book 1963).pdf,Textbooks/Academic/Accounting/Lawrence Lipkin - Accountant's handbook of formulas and tables (Book 1963).pdf,Lawrence Lipkin,Accountant's handbook of formulas and tables,1963,100,37,0.4599,"present value(93), discount rate(7)","per share(12), earnings per share(6), book value(5), par value(5), rate of return(3)"
Lisle - Accounting in theory and practice (Book 1908).pdf,Textbooks/Academic/Accounting/Lisle - Accounting in theory and practice (Book 1908).pdf,Lisle,Accounting in theory and practice,1908,11,22,-0.3333,"present value(8), contingent claim(2), present worth(1)","per share(12), book value(4), par value(4), intrinsic value(1), rate of return(1)"
"Louderback, Joseph G - Managerial Accounting (Book 1982).pdf","Textbooks/Academic/Accounting/Louderback, Joseph G - Managerial Accounting (Book 1982).pdf","Louderback, Joseph G",Managerial Accounting,1982,521,479,0.042,"present value(336), net present value(67), opportunity cost(28), discount rate(17), time value of money(17)","rate of return(142), book value(72), per share(48), eps(33), payback period(33)"
McLean - The Smartest Guys in the Room (Book 2003).pdf,Textbooks/Academic/Accounting/McLean - The Smartest Guys in the Room (Book 2003).pdf,McLean,The Smartest Guys in the Room,2003,4,41,-0.8222,"present value(1), diversification(1), portfolio theory(1), efficient market(1)","per share(19), earnings per share(6), rate of return(6), price-to-earnings(3), dilutive/dilution(2)"
